result,Draw_odd,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,Elo_ranking_dif,Elo_rating_dif
draw,3.65,1.63,-0.53,-0.53,1.8,0.6,4,-78,18,-105
lose,3.12,1.44,4.5,5.5,6.44,6.44,-5,17,59,-230
lose,3.75,7.67,-9.94,-9.33,-10.44,-8.44,51,-185,48,-303
win,3.33,-2.16,2.42,4.85,1.94,0.75,-8,153,-10,151
win,5.53,-8.95,8.53,7.74,6.05,7.47,-16,352,-33,340
lose,3.27,-1.99,4.41,6.24,4.3,4.85,-13,300,3,-10
lose,3.22,-0.86,-1.3,2.3,-2.06,-1.75,2,-91,1,-75
draw,5.27,-9.99,11.86,13.24,9.88,10.14,-18,389,-33,246
win,8.65,-19.38,7.53,3.74,8.05,7.47,-30,524,-42,378
win,3.69,-4.49,5.59,7.46,4.88,4.47,-9,135,-6,146
win,4.08,-8.02,5.59,7.46,4.88,4.47,-1,5,-14,162
win,4.38,-7.23,5.03,6.24,9.55,4.47,-14,126,-45,339
win,3.85,-6.05,11.03,12.84,10.85,10.67,-44,448,-25,251
win,4.17,-4.72,5.59,9.86,5.24,3.03,-5,138,-19,258
win,3.15,-0.3,-3.83,-3.44,-5.89,-6.72,33,-104,-10,34
lose,6.55,12,-8.83,-9.91,-9.18,-9.6,49,-535,45,-377
lose,3.51,0.42,0.57,-1.54,0.41,-0.22,27,-365,19,-120
win,3.55,2.4,-5.5,-7.11,-6.22,-5.05,2,-59,-5,33
lose,5.22,6.18,-12.44,-11.5,-13.33,-13.55,57,-936,41,-301
win,5.26,-8.82,3.11,2.89,1.11,2.72,-15,306,-30,225
win,3.79,-1.05,-2.33,-3.61,-2.45,-2.34,-10,278,-4,75
win,4.72,-7.51,4.11,4.89,2.11,2.72,-52,727,-33,304
win,6.75,-16.41,12.11,11.89,9.11,10.72,-50,689,-62,467
win,3.34,-1.21,2.58,2.36,2.91,3.32,-11,228,-12,120
win,5.15,-10.45,9.11,10.39,9.11,7.72,-22,410,-45,385
win,3.39,-1.93,5.72,5.89,5.44,6.22,-3,79,-7,86
win,3.53,-0.98,-1,-4,2,0,-14,172,-9,38
win,5,-9.8,10.5,11.61,10.11,12.94,-47,229,-29,318
lose,3.43,-1.61,2.56,3.28,2.11,3.5,-3,158,-2,101
win,9.35,-19.68,8.36,8.61,8.41,9.47,-40,486,-48,398
draw,4.42,-4.64,6.07,5.97,4.22,8.72,-5,97,-4,79
win,3.92,-5.15,6.07,5.97,4.22,8.72,-13,613,-6,201
win,3.75,-2.93,4.77,3.97,3.62,6.32,6,-98,-2,23
win,6.69,-17.59,9.67,10.17,8.22,8.22,-24,652,-39,412
win,5.16,-9.94,4.55,4.67,4.47,7.6,-6,131,-14,217
win,3.5,-6.6,4.55,4.67,4.47,7.6,-19,138,-8,184
lose,3.25,-3.34,-0.61,-0.11,-1.34,0.5,-4,71,-1,19
lose,3.19,-0.18,-1.16,0.73,-1.89,1,8,-216,2,-92
win,5.16,-8.99,6.67,3.67,6.72,8.72,-49,231,-33,326
win,3.44,-3.6,6.67,5.57,5.42,8.42,-14,703,-32,379
win,4.38,-6.08,5.73,5.89,5.05,7.22,-14,451,-21,349
draw,5.33,-8.01,5.73,5.89,5.05,7.22,-11,210,-10,150
lose,3.7,-1.09,1.67,1.7,0.93,3.34,1,-4,-1,12
win,9.09,-27.19,17.67,17.17,17.22,17.22,-84,1190,-77,569
draw,4.38,-6.81,5.73,8.29,5.41,5.78,-6,293,-11,214
lose,3.9,3.71,-3.81,-3.94,-3.94,-1.87,34,-355,34,-181
