result,Draw_odd,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,Elo_ranking_dif,Elo_rating_dif,xG_predicted
lose,3.23,3.26,-10.94,-5.88,-11.81,-10.44,26,-304,49,-277,-1.431109243
draw,3.65,1.63,-0.53,-0.53,1.8,0.6,4,-78,18,-105,-0.535285108
lose,3.12,1.44,4.5,5.5,6.44,6.44,-5,17,59,-230,-1.186320089
lose,3.75,7.67,-9.94,-9.33,-10.44,-8.44,51,-185,48,-303,-1.566524519
win,3.33,-2.16,2.42,4.85,1.94,0.75,-8,153,-10,151,0.798034535
win,5.53,-8.95,8.53,7.74,6.05,7.47,-16,352,-33,340,1.782399428
lose,3.27,-1.99,4.41,6.24,4.3,4.85,-13,300,3,-10,-0.040498521
lose,3.22,-0.86,-1.3,2.3,-2.06,-1.75,2,-91,1,-75,-0.379036712
draw,5.27,-9.99,11.86,13.24,9.88,10.14,-18,389,-33,246,1.292821122
win,8.65,-19.38,7.53,3.74,8.05,7.47,-30,524,-42,378,1.980314063
win,3.69,-4.49,5.59,7.46,4.88,4.47,-9,135,-6,146,0.771993136
win,4.08,-8.02,5.59,7.46,4.88,4.47,-1,5,-14,162,0.855325614
win,4.38,-7.23,5.03,6.24,9.55,4.47,-14,126,-45,339,1.777191148
win,3.85,-6.05,11.03,12.84,10.85,10.67,-44,448,-25,251,1.318862521
win,4.17,-4.72,5.59,9.86,5.24,3.03,-5,138,-19,258,1.35532048
win,3.15,-0.3,-3.83,-3.44,-5.89,-6.72,33,-104,-10,34,0.188665792
lose,6.55,12,-8.83,-9.91,-9.18,-9.6,49,-535,45,-377,-1.951937228
lose,3.51,0.42,0.57,-1.54,0.41,-0.22,27,-365,19,-120,-0.613409305
win,3.55,2.4,-5.5,-7.11,-6.22,-5.05,2,-59,-5,33,0.183457513
lose,5.22,6.18,-12.44,-11.5,-13.33,-13.55,57,-936,41,-301,-1.556107959
lose,3.27,2.6,-3.18,-3.5,-2.93,-0.38,84,-763,30,-160,-0.8217405
lose,4.49,7.13,-8.89,-7.44,-9.29,-6.98,89,-939,32,-244,-1.259236007
lose,3.65,-4.59,3.76,4.59,3.88,5.06,-10,146,7,-20,-0.09258132
win,3.59,-3.69,4.94,5,-0.18,8.24,-42,169,-17,99,0.527203983
